Hours since 1 January 2017 00:00,Measured grid demand (MW)
642,7922.24
642.5,7853.06
643,8014.2
643.5,8007.08
644,7962.66
644.5,7890.81
645,7638.39
645.5,7492.05
646,7239.52
646.5,6921.45
647,6795.47
647.5,6626.94
648,6307.95
648.5,6164.42
649,6044.66
649.5,5965.05
650,5867.7
650.5,5791.38
651,5784.22
651.5,5726.76
652,5713.82
652.5,5716.97
653,5713.01
653.5,5761.38
654,5729.13
654.5,5811.69
655,5904.81
655.5,6192.96
656,6328.47
656.5,6473.8
657,6615.17
657.5,6688.15
658,6766.93
658.5,6786.29
659,6796.04
659.5,6828.12
660,6916.42
660.5,6949.27
661,7003.57
661.5,7096.8
662,7181.6
662.5,7240.99
663,7319.49
663.5,7361.07
664,7454.15
664.5,7552.86
665,7687.39
665.5,7756.36
666,7698.07
666.5,7716.94
667,7719.41
667.5,7788.69
668,7800.8
668.5,7682.25
669,7409.94
669.5,7306.21
670,7082.76
670.5,6846.36
671,6740.81
671.5,6528.48
672,6268.53
672.5,6120.38
673,6048.15
673.5,5933.12
674,5843.28
674.5,5817.2
675,5755.52
675.5,5713.46
676,5677.49
676.5,5693.29
677,5642.58
677.5,5638.95
678,5613.5
678.5,5675.96
679,5778.7
679.5,5966.24
680,6046.3
680.5,6139.34
681,6266.06
681.5,6373.1
682,6444.11
682.5,6486.7
683,6493.51
683.5,6459.86
684,6592.03
684.5,6703.69
685,6812.5
685.5,6915.26
686,7045.51
686.5,7118.12
687,7251.6
687.5,7379.18
688,7546.47
688.5,7505.69
689,7741.94
689.5,7896.56
690,7939.31
690.5,7789.2
691,7882.01
691.5,7981.37
692,7881.29
692.5,7839.15
693,7591.78
693.5,7448.81
694,7252.51
694.5,6975.58
695,6770.26
695.5,6567.79
696,6308.02
696.5,6179.76
697,6067.84
697.5,5964.29
698,5907.26
698.5,5871.83
699,5884.87
699.5,5822.88
700,5813.03
700.5,5864.46
701,5903.68
701.5,6072
702,6214.36
702.5,6514.39
703,6698.3
703.5,7136.64
704,7377.93
704.5,7461.9
705,7577.66
705.5,7631.88
706,7659.33
706.5,7670.22
707,7679.99
707.5,7665.87
708,7786.73
708.5,7824.95
709,7882.01
709.5,7959.7
710,8046.99
710.5,8118.28
